rank,company_name,market_cap_usd,market_cap_display, logo_url, primary_hex
1,"Apple Inc.",674650000000,"$674.65B","https://logo.clearbit.com/apple.com","#000000"
2,"Alphabet Inc.",530820000000,"$530.82B","https://logo.clearbit.com/abc.xyz","#4285F4"
3,"Microsoft Corp.",451330000000,"$451.33B","https://logo.clearbit.com/microsoft.com","#F25022"
4,"Berkshire Hathaway Inc.",324950000000,"$324.95B","https://logo.clearbit.com/berkshirehathaway.com","#002D62"
5,"Exxon Mobil Corp.",322810000000,"$322.81B","https://logo.clearbit.com/exxonmobil.com","#D81E2A"
6,"Facebook, Inc.",298670000000,"$298.67B","https://logo.clearbit.com/facebook.com","#1877F2"
7,"Johnson & Johnson",286440000000,"$286.44B","https://logo.clearbit.com/jnj.com","#D41A2D"
8,"General Electric Co.",282110000000,"$282.11B","https://logo.clearbit.com/ge.com","#0073B8"
9,"Amazon.com, Inc.",278530000000,"$278.53B","https://logo.clearbit.com/amazon.com","#FF9900"
10,"Wells Fargo & Co.",275900000000,"$275.90B","https://logo.clearbit.com/wellsfargo.com","#D71E28"
11,"China Mobile Ltd.",261450000000,"$261.45B","https://logo.clearbit.com/chinamobileltd.com","#0088CC"
12,"Nestlé S.A.",242180000000,"$242.18B","https://logo.clearbit.com/nestle.com","#005930"
13,"Procter & Gamble Co.",238710000000,"$238.71B","https://logo.clearbit.com/pg.com","#003DA5"
14,"Novartis AG",233910000000,"$233.91B","https://logo.clearbit.com/novartis.com","#F89829"
15,"PetroChina Co. Ltd.",228600000000,"$228.60B","https://logo.clearbit.com/petrochina.com.cn","#D8242A"
16,"Roche Holding AG",221780000000,"$221.78B","https://logo.clearbit.com/roche.com","#0066B3"
17,"Walmart Inc.",218490000000,"$218.49B","https://logo.clearbit.com/walmart.com","#0071CE"
18,"ICBC",212330000000,"$212.33B","https://logo.clearbit.com/icbc.com.cn","#D81920"
19,"AT&T Inc.",207810000000,"$207.81B","https://logo.clearbit.com/att.com","#009FDB"
20,"JPMorgan Chase & Co.",203450000000,"$203.45B","https://logo.clearbit.com/jpmorganchase.com","#005EB8"
